"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"ttarjeta_visa__tend"	0.140571985724155	0.00401926280718383	0.00203316602071288
"2"	"tmovimientos_ultimos90dias"	0.124523013526337	0.00397221513927058	0.00314505368829023
"3"	"mcaja_ahorro_Paquete"	0.076396842565611	0.00631666568990676	0.00473346464197217
"4"	"mv_Finiciomora"	0.0238587156552295	0.00296628425418989	0.00190609314441832
"5"	"mtarjeta_visa_consumo"	0.0233550900055699	0.00355798791491668	0.00171548382997649
"6"	"mcuentas_saldo"	0.0228188777457495	0.00535972110021571	0.00365334519346845
"7"	"cliente_antiguedad__tend"	0.0199462387393582	0.0153439920283381	0.00327212656458479
"8"	"mprestamos_personales"	0.0160855806158052	0.00509670793546459	0.00444755067030942
"9"	"tplan_sueldo"	0.0132434350761852	0.00344041157819356	0.00123896054387191
"10"	"Visa_marca_atraso__tend"	0.0123538923955122	0.000652407923452179	0.000825973695914607
"11"	"mdescubierto_preacordado__min"	0.0092955617769325	0.000564731749541519	0.000285913971662749
"12"	"mcuenta_corriente_Paquete"	0.00863722333181011	0.00328669664358048	0.00378041806976301
"13"	"mv_marca_atraso__tend"	0.00644915080836223	0.00099431474751427	0.000984814791282801
"14"	"marketing_coss_selling__tend"	0.00562685794271228	0.00331445116559789	0.00270029862125929
"15"	"mv_cuenta_estado2"	0.0053972731955777	0.00093893371666502	0.00117542410572463
"16"	"ctarjeta_visa_transacciones"	0.00522031438394118	0.00205367075410331	0.00181078848719741
"17"	"mcuentas_saldo__tend"	0.00509645765271776	0.00360962017526232	0.00374864985068937
"18"	"mv_mpagospesos"	0.0050588099424249	0.00153760864913598	0.00104835122943008
"19"	"marketing_coss_selling"	0.00501957283131766	0.00465311197988342	0.00358980875532118
"20"	"mplan_sueldo"	0.00478268717697899	0.00389810612664625	0.00108011944850372
"21"	"tmovimientos_ultimos90dias__tend"	0.00456551711634187	0.00362783223941598	0.00400279560327848
"22"	"mprestamos_personales__avg"	0.00309447967861236	0.000441023420402652	0.00108011944850372
"23"	"mrentabilidad"	0.0029776316025945	0.00382365542992813	0.00301798081199568
"24"	"cliente_antiguedad__max"	0.00290892929393673	0.000423301113755108	0.000571827943325497
"25"	"tplan_sueldo__min"	0.00253863382896813	0.000441454588373834	0.000412986847957304
"26"	"mv_msaldopesos"	0.00247891608762804	0.000593671370794793	0.000635364381472775
"27"	"mttarjeta_visa_debitos_automaticos__tend"	0.00231677763308437	0.00247151441542259	0.00225554355422835
"28"	"mcuenta_corriente_Paquete__tend"	0.00231039901208047	0.00312468647990689	0.00343096765995298
"29"	"mautoservicio"	0.00229759613100423	0.00242466533863686	0.000698900819620052
"30"	"ccomisiones_mantenimiento__tend"	0.00226990946427348	0.00223817930199281	0.00146133807738738
"31"	"foto_mes"	0.00224902191711041	0.0039606368521542	0.00358980875532118
"32"	"canarito94"	0.00219988408262697	0.00455900826454028	0.00540059724251858
"33"	"canarito83"	0.00218711955006946	0.00436067320283402	0.00517821970900311
"34"	"mactivos_margen"	0.00214062992707248	0.00311488696403799	0.0031132854692166
"35"	"canarito77"	0.00212835792149457	0.00397162902725445	0.00514645148992947
"36"	"Visa_mpagominimo"	0.00208104505105779	0.00214576126923114	0.00142956985831374
"37"	"mv_mpagominimo"	0.0020725937483967	0.000936468357377368	0.00120719232479827
"38"	"mactivos_margen__tend"	0.00206074615247242	0.0030147527990202	0.0039392591651312
"39"	"canarito36"	0.00205840229503872	0.00318628144668253	0.00495584217548764
"40"	"canarito28"	0.00205726716483106	0.00396475201382503	0.00501937861363492
"41"	"mprestamos_personales__tend"	0.00200539402396562	0.00235304435701039	0.00212847067793379
