"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"ttarjeta_visa__tend"	0.172113853259191	0.00570064888359951	0.00413120302623065
"2"	"tmovimientos_ultimos90dias"	0.144540099568652	0.0077612203241887	0.0068189736698024
"3"	"mcaja_ahorro_Paquete"	0.0990284594479008	0.00815362276446649	0.00890946194813598
"4"	"mcuentas_saldo"	0.0297947917095701	0.00940054677313509	0.00871036782638993
"5"	"mv_Finiciomora"	0.0293277132878372	0.00376203665143792	0.0032352794783734
"6"	"mtarjeta_visa_consumo"	0.0273765363579173	0.00374645205706565	0.00338460006968294
"7"	"cliente_antiguedad__tend"	0.0242714580025482	0.0196791993768142	0.00602259718281818
"8"	"mprestamos_personales"	0.0166849346038193	0.00636575137230193	0.00721716191329451
"9"	"tplan_sueldo"	0.0151767750651444	0.00343932014984514	0.00204071474789707
"10"	"mdescubierto_preacordado__min"	0.011591596513773	0.00180855140846094	0.000696829426111194
"11"	"mv_marca_atraso__tend"	0.0109680451030246	0.00106707470642156	0.00149320591309542
"12"	"Visa_marca_atraso__tend"	0.0102030456652443	0.000572401557311437	0.00149320591309542
"13"	"mcuenta_corriente_Paquete"	0.00930662084923908	0.0043339875750223	0.00632123836543726
"14"	"mv_mpagospesos"	0.00745829391456995	0.00358740335953368	0.0028868647653178
"15"	"mcuentas_saldo__tend"	0.0071381749732957	0.00602992623922414	0.00731670897416754
"16"	"marketing_coss_selling"	0.00712818669851475	0.00637315838174983	0.00642078542631029
"17"	"marketing_coss_selling__tend"	0.00674839627252049	0.00408611968095897	0.00418097655666716
"18"	"mplan_sueldo"	0.00654559236328721	0.00570934111029252	0.00223980886964312
"19"	"ctarjeta_visa_transacciones"	0.00603800975268906	0.00368182536730591	0.00388233537404808
"20"	"tmovimientos_ultimos90dias__tend"	0.00568693628897413	0.0072693828978297	0.00786421780896919
"21"	"mv_cuenta_estado2"	0.00563452984933119	0.00120568453863269	0.00159275297396844
"22"	"mdescubierto_preacordado"	0.00436334313606047	0.00244238609668771	0.00129411179134936
"23"	"mv_mpagominimo"	0.00418878726762942	0.001148412670437	0.00228958240007964
"24"	"mrentabilidad"	0.0039913973899006	0.00511100854028524	0.00627146483500075
"25"	"mprestamos_personales__avg"	0.00359464676533157	0.000781943229816532	0.00169230003484147
"26"	"cliente_antiguedad__max"	0.00355513277241504	0.000764268083048032	0.0010950176696033
"27"	"tplan_sueldo__min"	0.00351257567016784	0.000496150165674341	0.000796376486984222
"28"	"mv_msaldopesos"	0.00345819189437004	0.000997845059212016	0.0014434323826589
"29"	"mautoservicio"	0.00340470317838561	0.00369591530043099	0.0014434323826589
"30"	"mactivos_margen"	0.00318673975920799	0.00458639315862579	0.00622169130456423
"31"	"mttarjeta_visa_debitos_automaticos__tend"	0.0031012250320461	0.004093860559404	0.00423075008710368
"32"	"mcuenta_corriente_Paquete__tend"	0.00301099460592465	0.00505647569652158	0.00711761485242148
"33"	"mv_mpagospesos__max"	0.00272551035282069	0.0033486568250225	0.00219003533920661
"34"	"foto_mes"	0.0026551506519746	0.00422430441652407	0.00627146483500075
"35"	"mprestamos_personales__tend"	0.00264428265299927	0.00240163147898167	0.00383256184361157
"36"	"ccomisiones_mantenimiento__tend"	0.00254125096505079	0.00206779725756937	0.00238912946095267
"37"	"Visa_cuenta_estado"	0.00251825336762458	0.000211604021816767	0.000547508834801652
"38"	"mcomisiones_mantenimiento__tend"	0.00237342883159189	0.00335889600278687	0.00457916480015927
"39"	"mactivos_margen__min"	0.00237252334315171	0.00195118357565815	0.00303618535662735
"40"	"mplan_sueldo__avg"	0.0023349556659611	0.00437107983834115	0.00223980886964312
"41"	"ctarjeta_visa_transacciones__tend"	0.00231024720467744	0.00380206181867941	0.00447961773928625
"42"	"mactivos_margen__tend"	0.00230211331973942	0.00443356903174523	0.0068189736698024
"43"	"mrentabilidad_annual__tend"	0.00230198830717366	0.00595917478207662	0.00736648250460405
"44"	"Visa_mpagominimo"	0.00229432712088216	0.00248820482399289	0.00268777064357175
"45"	"mpagomiscuentas"	0.00219070109608465	0.00305892159321754	0.0014434323826589
"46"	"mplan_sueldo__max"	0.00212204885698734	0.00317387835452895	0.00184162062615101
"47"	"mrentabilidad__min"	0.00211214356123254	0.00348820529311655	0.00477825892190533
"48"	"mcuenta_corriente_Paquete__avg"	0.00208027150341503	0.00344129253818351	0.00522622069583396
"49"	"mcuenta_corriente_Paquete__min"	0.00207127168722839	0.00305180380247322	0.00527599422627047
"50"	"Visa_cuenta_estado__tend"	0.00195355842297019	0.00100683792989268	0.00159275297396844
"51"	"mrentabilidad__tend"	0.00194016054990958	0.00420012304026705	0.00652033248718332
"52"	"tcaja_seguridad"	0.00189455339034365	0.00311094153776392	0.00114479120003982
"53"	"ccomisiones_otras__tend"	0.00178902923030159	0.00317219856825616	0.00567418246976258
"54"	"Visa_mpagospesos__tend"	0.00177855690180907	0.00430502903197627	0.00482803245234184
"55"	"mcomisiones_mantenimiento"	0.00174723675632891	0.00387090849519272	0.0028868647653178
"56"	"chomebanking_transacciones"	0.00172808143835599	0.00497973762249635	0.00373301478273854
"57"	"mv_mpagominimo__tend"	0.00168418359607438	0.00149385238648998	0.00248867652182569
"58"	"mtarjeta_master_consumo"	0.00167990041825475	0.00172782047173881	0.0014434323826589
"59"	"mv_mpagominimo__max"	0.00163542987246628	0.00133496104552684	0.00154297944353193
"60"	"chomebanking_transacciones__tend"	0.00163395590339392	0.00391541481627088	0.00487780598277836
"61"	"ccallcenter_transacciones"	0.00162136017480925	0.00219623209035091	0.00119456473047633
"62"	"mpasivos_margen__tend"	0.0015766081946126	0.00619558307330706	0.00472848539146882
"63"	"mrentabilidad__avg"	0.0015513677479099	0.00183531174840498	0.0028868647653178
"64"	"chomebanking_transacciones__max"	0.00150999345992614	0.00326998932535079	0.00433029714797671
