"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"ttarjeta_visa__tend"	0.170034325079643	0.00695403489337085	0.00395638328669304
"2"	"tmovimientos_ultimos90dias"	0.141889152103448	0.00760307591133672	0.0066100550033774
"3"	"mcaja_ahorro_Paquete"	0.111351951441434	0.00768444184510535	0.00771977226671813
"4"	"mtarjeta_visa_consumo"	0.030857938016713	0.00380263666296487	0.00308790890668725
"5"	"mcuentas_saldo"	0.0262760021330902	0.00757972517818369	0.00815400945672103
"6"	"mprestamos_personales"	0.0255241912631325	0.00654845345948145	0.00781626942005211
"7"	"cliente_antiguedad__tend"	0.0239982823358923	0.0194580204525647	0.0057898292000386
"8"	"mv_Finiciomora"	0.0195200981701771	0.00469681638217521	0.00395638328669304
"9"	"Visa_marca_atraso__tend"	0.0190389448080879	0.0014039761424136	0.00192994306667953
"10"	"tplan_sueldo"	0.013648020861969	0.00307662704441944	0.00183344591334556
"11"	"mdescubierto_preacordado__min"	0.0114434475756751	0.00104335483165125	0.000482485766669883
"12"	"mcuenta_corriente_Paquete"	0.0084995048553485	0.00297981251831128	0.00632056354337547
"13"	"mv_marca_atraso__tend"	0.00792655427783692	0.00114326116909562	0.00231593168001544
"14"	"mcuentas_saldo__tend"	0.00741343843132169	0.00560110751601453	0.00714078934671427
"15"	"marketing_coss_selling__tend"	0.00667700453153682	0.0040683101520095	0.00366689182669111
"16"	"mv_mpagospesos"	0.00654445210284594	0.00240233940100782	0.00221943452668146
"17"	"mplan_sueldo"	0.00583540329209499	0.00459660240072038	0.00178519733667857
"18"	"marketing_coss_selling"	0.00573434358949594	0.00519549362781847	0.00588632635337258
"19"	"ctarjeta_visa_transacciones"	0.00572130043320836	0.00271434185397245	0.0028949146000193
"20"	"tmovimientos_ultimos90dias__tend"	0.00549666691015972	0.00674659131164869	0.00752677796005018
"21"	"mv_marca_atraso"	0.00455267460906108	0.000262289947920712	0.000385988613335907
"22"	"mactivos_margen__min"	0.00440482328733588	0.00152861591420882	0.00294316317668629
"23"	"tplan_sueldo__min"	0.00413806405406163	0.000509357596400124	0.00086847438000579
"24"	"mplan_sueldo__avg"	0.0035506340281848	0.00451786078251406	0.0024606774100164
"25"	"mprestamos_personales__tend"	0.00329496219451332	0.0043893864272576	0.00463186336003088
"26"	"mdescubierto_preacordado"	0.00324383667751709	0.00115507092876848	0.00101322011000675
"27"	"mrentabilidad"	0.00312309296580811	0.00522351836197668	0.00574158062337161
"28"	"mv_mpagominimo"	0.00301100190043539	0.00132881743132018	0.00250892598668339
"29"	"ccomisiones_mantenimiento__tend"	0.00297078631295367	0.00279020812002309	0.00294316317668629
"30"	"Visa_fechaalta__min"	0.00295281014808966	0.000587372622032904	0.00086847438000579
"31"	"Visa_cuenta_estado"	0.00291214901394295	0.000139522118278693	0.000627231496670848
"32"	"mcuenta_corriente_Paquete__tend"	0.00284277110374111	0.00497689480286178	0.00670655215671138
"33"	"mttarjeta_visa_debitos_automaticos__tend"	0.00268239855321469	0.00361107753332159	0.00434237190002895
"34"	"mrentabilidad_annual__tend"	0.00267587438574652	0.0055797201723979	0.00800926372672006
"35"	"mactivos_margen__tend"	0.00253412807371726	0.00447313416431324	0.00733378365338223
"36"	"mpasivos_margen"	0.00249424194038095	0.00437475321099462	0.00439062047669594
"37"	"mv_mpagospesos__max"	0.0024499762912429	0.00319812190306562	0.0020746887966805
"38"	"foto_mes"	0.00235542132481075	0.00505242356471091	0.00607932066004053
"39"	"mv_msaldototal"	0.00232020615963915	0.000852427386395799	0.00135096014667567
"40"	"tcaja_seguridad"	0.00222674634579194	0.00330455966276639	0.00135096014667567
"41"	"Visa_mpagominimo"	0.00212659798571644	0.0023699198078067	0.0028949146000193
"42"	"mcomisiones_mantenimiento__tend"	0.00207881645937378	0.00186072681125049	0.00439062047669594
"43"	"mactivos_margen"	0.00201966875418654	0.00345829885392799	0.00554858631670366
"44"	"ctarjeta_visa_transacciones__tend"	0.00201268100826877	0.00602475841653011	0.00477660909003184
"45"	"Visa_Finiciomora"	0.00199585300439558	0.00101586736482265	0.0016404516066776
"46"	"mv_mpagominimo__tend"	0.00197146656624048	0.00180602259845558	0.00332915179002219
"47"	"mv_cuenta_estado2"	0.00189213893695997	0.000669689478422	0.0016404516066776
"48"	"chomebanking_transacciones"	0.00183832960524922	0.00531428677978379	0.00448711763002991
"49"	"mcomisiones_mantenimiento"	0.00179198757002755	0.00318204719806116	0.00308790890668725
"50"	"mautoservicio"	0.00173366323164913	0.00296839808021583	0.00178519733667857
"51"	"chomebanking_transacciones__tend"	0.00173260971832693	0.00407501980273798	0.00530734343336872
"52"	"mpagomiscuentas"	0.00171885296333477	0.00182970155620182	0.00120621441667471
"53"	"mrentabilidad__max"	0.00166528893726893	0.00339535975439061	0.00439062047669594
"54"	"mrentabilidad__tend"	0.0016611383940358	0.00421967702561648	0.00598282350670655
"55"	"mcuenta_corriente_Paquete__avg"	0.00164892569510387	0.00202401498655844	0.00424587474669497
"56"	"ttarjeta_visa_debitos_automaticos__tend"	0.00163281101411722	0.00206693107758744	0.00299141175335328
"57"	"ccomisiones_otras__tend"	0.00162794128392828	0.00328381579059773	0.00521084628003474
"58"	"mpasivos_margen__tend"	0.00161562427114712	0.0074041235877989	0.00439062047669594
"59"	"ccallcenter_transacciones"	0.00156709435391608	0.00246703881096174	0.00173694876001158
"60"	"Visa_cuenta_estado__tend"	0.00156101710105136	0.00171749330440381	0.00173694876001158
"61"	"mplan_sueldo__tend"	0.0015257706030511	0.00524130659982905	0.00255717456335038
"62"	"mv_msaldopesos"	0.00150481560008119	0.000602464807863071	0.00106146868667374
"63"	"Master_fultimo_cierre__tend"	0.00149701144209929	0.00227522519646968	0.00501785197336679
"64"	"mv_mpagominimo__max"	0.00149681686748168	0.00141618256367585	0.00130271157000868
"65"	"mrentabilidad__min"	0.00144049246743986	0.00250914621589032	0.00405288044002702
"66"	"Visa_mpagospesos__tend"	0.00141145138979031	0.00398822216781289	0.00477660909003184
"67"	"mtarjeta_master_consumo"	0.00140004827879634	0.00217090683967039	0.00154395445334363
"68"	"internet"	0.00138554997993344	0.00053408611269325	0.00173694876001158
"69"	"mcuenta_corriente_Paquete__min"	0.00138357685263723	0.00237236911017676	0.00395638328669304
"70"	"Visa_fultimo_cierre__tend"	0.00137877486030929	0.00155613368734074	0.00429412332336196
"71"	"tmovimientos_ultimos90dias__min"	0.00134781162857394	0.00428802078443405	0.004149377593361
"72"	"chomebanking_transacciones__max"	0.0013477451097746	0.00378522911623062	0.00390813471002605
"73"	"mrentabilidad_annual__min"	0.00134468057810645	0.00492142722551814	0.00477660909003184
"74"	"mvr_mpagominimo__tend"	0.00132407650595777	0.0021284703403906	0.00318440606002123
"75"	"mv_tconsumos__tend"	0.00131412030501031	0.00133538187751233	0.00275016887001833
"76"	"mcuenta_corriente_Paquete__max"	0.00127448784328658	0.00254815174765059	0.00395638328669304
